horizon_minutes,column,reason
15,city,metadata_or_non_model_column
15,segment_id,metadata_or_non_model_column
15,time_bucket,metadata_or_non_model_column
15,timestamp,metadata_or_non_model_column
15,source,metadata_or_non_model_column
15,provider,metadata_or_non_model_column
15,segment_name,metadata_or_non_model_column
15,weather_cell_id,metadata_or_non_model_column
15,geometry,non_numeric_model_feature
15,roadClosure,metadata_or_non_model_column
15,date,metadata_or_non_model_column
15,dedup_records_collapsed,constant
15,dedup_duplicate_key_rows,constant
15,month_of_year,constant
15,time_gap_minutes,constant
15,has_previous_exact_bucket,constant
15,has_large_gap_before,constant
15,valid_history_15m,constant
15,weather_visibility,constant
15,p15,global_baseline_potential_temporal_leakage
15,p50,global_baseline_potential_temporal_leakage
15,p85,global_baseline_potential_temporal_leakage
15,baseline_congestion_ratio,global_baseline_potential_temporal_leakage
15,speed_vs_p15,global_baseline_potential_temporal_leakage
15,speed_vs_p50,global_baseline_potential_temporal_leakage
15,speed_vs_p85,global_baseline_potential_temporal_leakage
15,speed_percentile_position,global_baseline_potential_temporal_leakage
15,is_below_p15,global_baseline_potential_temporal_leakage
15,is_above_p85,global_baseline_potential_temporal_leakage
15,is_between_p15_p50,global_baseline_potential_temporal_leakage
15,is_anomaly_vs_baseline,global_baseline_potential_temporal_leakage
15,has_exact_target_15m,metadata_or_non_model_column
15,future_speed_60m,metadata_or_non_model_column
15,has_exact_target_60m,metadata_or_non_model_column
15,future_speed_240m,metadata_or_non_model_column
15,has_exact_target_240m,metadata_or_non_model_column
15,is_holiday_vn,constant
15,road_class_encoded,constant
15,length_m,constant
15,is_short_segment,constant
15,speed_limit_encoded,constant
15,district_segment_count,constant
15,direction_quadrant,constant
15,has_flood,constant
15,has_roadwork,constant
15,max_accident_severity_1h,constant
15,max_flood_severity_1h,constant
15,max_roadwork_severity_1h,constant
15,degree_centrality,constant
15,betweenness_centrality,constant
15,closeness_centrality,constant
15,degree_centrality_encoded,constant
15,betweenness_centrality_encoded,constant
15,network_importance_score,constant
15,congestion_news_count_1h,constant
15,roadwork_count_24h,constant
15,weather_disruption_count_6h,constant
15,flood_count_6h,constant
15,has_recent_roadwork,constant
15,has_recent_flood,constant
15,has_major_event,constant
15,has_weather_disruption,constant
15,target_speed,metadata_or_non_model_column
15,split,metadata_or_non_model_column
60,city,metadata_or_non_model_column
60,segment_id,metadata_or_non_model_column
60,time_bucket,metadata_or_non_model_column
60,timestamp,metadata_or_non_model_column
60,source,metadata_or_non_model_column
60,provider,metadata_or_non_model_column
60,segment_name,metadata_or_non_model_column
60,weather_cell_id,metadata_or_non_model_column
60,geometry,non_numeric_model_feature
60,roadClosure,metadata_or_non_model_column
60,date,metadata_or_non_model_column
60,dedup_records_collapsed,constant
60,dedup_duplicate_key_rows,constant
60,month_of_year,constant
60,time_gap_minutes,constant
60,has_previous_exact_bucket,constant
60,has_large_gap_before,constant
60,valid_history_15m,constant
60,valid_history_30m,constant
60,valid_history_60m,constant
60,weather_visibility,constant
60,p15,global_baseline_potential_temporal_leakage
60,p50,global_baseline_potential_temporal_leakage
60,p85,global_baseline_potential_temporal_leakage
60,baseline_congestion_ratio,global_baseline_potential_temporal_leakage
60,speed_vs_p15,global_baseline_potential_temporal_leakage
60,speed_vs_p50,global_baseline_potential_temporal_leakage
60,speed_vs_p85,global_baseline_potential_temporal_leakage
60,speed_percentile_position,global_baseline_potential_temporal_leakage
60,is_below_p15,global_baseline_potential_temporal_leakage
60,is_above_p85,global_baseline_potential_temporal_leakage
60,is_between_p15_p50,global_baseline_potential_temporal_leakage
60,is_anomaly_vs_baseline,global_baseline_potential_temporal_leakage
60,future_speed_15m,metadata_or_non_model_column
60,has_exact_target_15m,metadata_or_non_model_column
60,has_exact_target_60m,metadata_or_non_model_column
60,future_speed_240m,metadata_or_non_model_column
60,has_exact_target_240m,metadata_or_non_model_column
60,is_holiday_vn,constant
60,road_class_encoded,constant
60,length_m,constant
60,is_short_segment,constant
60,speed_limit_encoded,constant
60,district_segment_count,constant
60,direction_quadrant,constant
60,has_flood,constant
60,has_roadwork,constant
60,max_accident_severity_1h,constant
60,max_flood_severity_1h,constant
60,max_roadwork_severity_1h,constant
60,degree_centrality,constant
60,betweenness_centrality,constant
60,closeness_centrality,constant
60,degree_centrality_encoded,constant
60,betweenness_centrality_encoded,constant
60,network_importance_score,constant
60,congestion_news_count_1h,constant
60,roadwork_count_24h,constant
60,weather_disruption_count_6h,constant
60,flood_count_6h,constant
60,has_recent_roadwork,constant
60,has_recent_flood,constant
60,has_major_event,constant
60,has_weather_disruption,constant
60,target_speed,metadata_or_non_model_column
60,split,metadata_or_non_model_column
240,city,metadata_or_non_model_column
240,segment_id,metadata_or_non_model_column
240,time_bucket,metadata_or_non_model_column
240,timestamp,metadata_or_non_model_column
240,source,metadata_or_non_model_column
240,provider,metadata_or_non_model_column
240,segment_name,metadata_or_non_model_column
240,weather_cell_id,metadata_or_non_model_column
240,geometry,non_numeric_model_feature
240,roadClosure,metadata_or_non_model_column
240,date,metadata_or_non_model_column
240,dedup_records_collapsed,constant
240,dedup_duplicate_key_rows,constant
240,month_of_year,constant
240,time_gap_minutes,constant
240,has_previous_exact_bucket,constant
240,has_large_gap_before,constant
240,valid_history_15m,constant
240,valid_history_30m,constant
240,valid_history_60m,constant
240,weather_visibility,constant
240,p15,global_baseline_potential_temporal_leakage
240,p50,global_baseline_potential_temporal_leakage
240,p85,global_baseline_potential_temporal_leakage
240,baseline_congestion_ratio,global_baseline_potential_temporal_leakage
240,speed_vs_p15,global_baseline_potential_temporal_leakage
240,speed_vs_p50,global_baseline_potential_temporal_leakage
240,speed_vs_p85,global_baseline_potential_temporal_leakage
240,speed_percentile_position,global_baseline_potential_temporal_leakage
240,is_below_p15,global_baseline_potential_temporal_leakage
240,is_above_p85,global_baseline_potential_temporal_leakage
240,is_between_p15_p50,global_baseline_potential_temporal_leakage
240,is_anomaly_vs_baseline,global_baseline_potential_temporal_leakage
240,future_speed_15m,metadata_or_non_model_column
240,has_exact_target_15m,metadata_or_non_model_column
240,future_speed_60m,metadata_or_non_model_column
240,has_exact_target_60m,metadata_or_non_model_column
240,has_exact_target_240m,metadata_or_non_model_column
240,is_holiday_vn,constant
240,road_class_encoded,constant
240,length_m,constant
240,is_short_segment,constant
240,speed_limit_encoded,constant
240,district_segment_count,constant
240,direction_quadrant,constant
240,has_flood,constant
240,has_roadwork,constant
240,max_accident_severity_1h,constant
240,max_flood_severity_1h,constant
240,max_roadwork_severity_1h,constant
240,degree_centrality,constant
240,betweenness_centrality,constant
240,closeness_centrality,constant
240,degree_centrality_encoded,constant
240,betweenness_centrality_encoded,constant
240,network_importance_score,constant
240,congestion_news_count_1h,constant
240,roadwork_count_24h,constant
240,weather_disruption_count_6h,constant
240,flood_count_6h,constant
240,has_recent_roadwork,constant
240,has_recent_flood,constant
240,has_major_event,constant
240,has_weather_disruption,constant
240,target_speed,metadata_or_non_model_column
240,split,metadata_or_non_model_column
